product_id,product_name,price,detail,published_date,publisher,product_image,author
29,데이터 과학 입문: R과 Python의 활용 (R과 Python의 활용),18000,"이 책은 성신여자대학교에서 “빅데이터의 이해와 활용”을 가르치면서 쓴 강의 텍스트 〈빅 데이터의 과학: R Commander의 활용〉의 고급 버전입니다. 이 책에서는 계산 도구(computing tools)로 R Commander 대신 R과 Python을 사용하였습니다.
  R과 Python은 데이터 과학 커뮤니티에서 활용되는 Top 2 컴퓨터 언어입니다.",20210925,자유아카데미,\img\데이터 과학 입문: R과 Python의 활용 (R과 Python의 활용).jpg,허명회
30,Python 3 and Data Visualization,34000,"Python 3 and Data Visualization offers readers a deep dive into the world of Python 3 programming and the art of data visualization. Chapter 1 introduces the essentials of Python, covering a vast arra",20231204,Mercury Learning and Informati,\img\Python 3 and Data Visualization.jpg,"Campesato, Oswald"
31,Python 3 and Feature Engineering,28000,"This book is designed for data scientists, machine learning practitioners, and anyone with a foundational understanding of Python 3.x. In the evolving field of data science, the ability to manipulate ",20231213,Mercury Learning and Informati,\img\Python 3 and Feature Engineering.jpg,"Campesato, Oswald"
32,Fastapi: Modern Python Web Development (Modern Python Web Development),75400,"With this practical book, developers familiar with Python will learn how FastAPI lets you accomplish more in less time with less code. Author Bill Lubanovic covers the nuts and bolts of FastAPI develo",20240102,O'Reilly Media,\img\Fastapi: Modern Python Web Development (Modern Python Web Development).jpg,Bill Lubanovic
33,Python Real-World Projects (Craft your Python portfolio with deployable applications),48000,"Develop Python applications using an enterprise-based approach with unit and acceptance tests by following agile methods to create a minimum viable product (MVP) and iteratively add features

Key Feat",20230915,Packt Publishing,\img\Python Real-World Projects (Craft your Python portfolio with deployable applications).jpg,"Lott, Steven F."
34,Clean Code in Python,62580,No details available,20181201,Packt,\img\Clean Code in Python.jpg,Mariano Anaya
35,"Bayesian Analysis with Python, 3/Ed (A practical guide to probabilistic modeling)",39000,No details available,20240401,Packt Publishing,"\img\Bayesian Analysis with Python, 3_Ed (A practical guide to probabilistic modeling).jpg","Martin, Osvaldo"
36,반나절 회계기초(2023) (기업분석 with Python),16200,"회계에 대한 지식을 가장 쉽고 빠르게 배우는 책

[이 책의 특징]
● 사례와 스토리를 통해 회계를 쉽게 접근할 수 있도록 정리한 책
● 매년 천 명 가까운 대기업 재직자를 대상으로 회계와 재무분석을 강의하는 저자의 핵심 포인트
● 기업의 사업개발과 외부감사인, 재무제표 분석가의 시각을 모두 담아 회계를 이해하기 위한 책
● 매년 개정되는 회계기준의 기본 ",20230203,삼일인포마인,\img\반나절 회계기초(2023) (기업분석 with Python).jpg,윤상철
37,Python als Kernstuck (Maschinelles Lernen und mehr),77010,"""Python im Kern: Machine Learning & Beyond"" ist ein umfassendes Handbuch, das sich mit der Integration von Python in maschinelles Lernen und Deep Learning befasst und die zentrale Rolle von Python bei",20240429,KS OmniScriptum Publishing,\img\Python als Kernstuck (Maschinelles Lernen und mehr).jpg,Unknown
38,Applied Scientific Computing 양장본 Hardcover (With Python),93130,"This easy-to-understand textbook presents a modern approach to learning numerical methods (or scientific computing), with a unique focus on the modeling and applications of the mathematical content.",20180731,Springer,\img\Applied Scientific Computing 양장본 Hardcover (With Python).jpg,Peter R. Turner^Thomas Arildse
39,Applied Scientific Computing (With Python),65530,"This easy-to-understand textbook presents a modern approach to learning numerical methods (or scientific computing), with a unique focus on the modeling and applications of the mathematical content. E",20180723,Springer Nature B.V.,\img\Applied Scientific Computing (With Python).jpg,Unknown
40,Python 프로그래밍,11500,4차 산업 혁명 시대의 중심에 서 있는 현대인들에게 프로그래밍 언어를 배워 프로그램을 직접 만들어 보고 작동 방식 및 의미를 이해하는 것은 중요하고 필수 불가결한 요소가 되었다. 하지만 현재의 프로그래밍 언어 교재들은 비록 자연 언어와 유사한 고급 프로그래밍 언어라 할 지라도 컴퓨터 전공자를 대상으로 언어의 문법 설명에 초점이 맞추어져 있다. 일반인 또는 ,20170330,퍼플,\img\Python 프로그래밍.jpg,서문석
41,마야 파이썬 2024 (Maya Python 2024),25000,"이 책은 3D 모델링, 애니메이션, 게임 개발 등의 복잡한 작업을 파이썬을 통해 쉽게 하는 방법을 소개합니다. 이 책은 마야 소프트웨어 사용자가 효율적으로 작업을 자동화하고, 창의적인 작업을 위한 커스텀 도구를 만들 수 있도록 돕습니다. 초보자부터 전문가까지, 이 책은 마야와 파이썬의 강력한 결합을 통해 놀라운 결과를 만들어내는 데 필요한 지식과 기술을 제",20240124,퍼플,\img\마야 파이썬 2024 (Maya Python 2024).jpg,"신동선, 김경문"
42,모두를 위한 컴퓨팅 사고 (Python 기초문법 수록),21850,▶ 이 책은 컴퓨팅 사고를 다룬 이론서입니다. 컴퓨팅 사고의 기초적이고 전반적인 내용을 학습할 수 있습니다.,20200303,정익사,\img\모두를 위한 컴퓨팅 사고 (Python 기초문법 수록).jpg,김종완
43,"Python Scripting in Blender (Extend the power of Blender using Python to create objects, animations,",39000,Learn how to use Python scripts in Blender 3.,20230801,Packt Publishing,"\img\Python Scripting in Blender (Extend the power of Blender using Python to create objects, animations, and effective add-ons).jpg","Acampora, Paolo"
44,Coding Games in Python,25500,"Build and play your own computer games, from creative quizzes to perplexing puzzles, by coding them in the Python programming language!

Whether you're a seasoned programmer or a beginner hoping to le",20180703,DK,\img\Coding Games in Python.jpg,DK
45,수치해석 (Python으로 코딩하기),23750,▶ 이 책은 이공학도를 위한 수치해석에 대해 다룬 도서입니다. 수치해석의 기초적이고 전반적인 내용을 확인할 수 있도록 구성했습니다.,20170905,학산미디어,\img\수치해석 (Python으로 코딩하기).jpg,최덕기
46,"Python Crash Course, 3/E (A Hands-On, Project-Based Introduction to Programming)",55000,"Python Crash Course is the world’s bestselling programming book, with over 1,500,000 copies sold to date!

Python Crash Course is the world’s best-selling guide to the Python programming language. Thi",20230201,No Starch Press,"\img\Python Crash Course, 3_E (A Hands-On, Project-Based Introduction to Programming).jpg","Matthes, Eric"
47,"파이썬(Python): 1학년 (파이썬, 만화와 대화로 공부해 인공지능 앱까지 도전!)",20000,"만화처럼 빨려 들어가는 비주얼한 프로그래밍 입문서 1학년 시리즈! 
염소 박사님, 다솜 양과 함께라면 인공지능 앱도 뚝딱!
 
누구에게나 가볍고 쉬운 파이썬 입문서!",20181218,성안당,"\img\파이썬(Python): 1학년 (파이썬, 만화와 대화로 공부해 인공지능 앱까지 도전!).jpg",모리 요시나오
48,"작심 3일 파이썬 Python (모두가 배워야 할 Python, 남몰래 3일만 투자하자!)",16200,"문과 전공 초보자를 본격 배려한 파이썬 기초 3일 특강

파이썬을 배우는 가장 좋은 방법은 ‘수준에 맞는 과외’를 받는 것이라는 취지를 가지고 비전공자, 특히 문과 전공자들에게 적합한 3일 간의 강습을 엮은 책이다. 초보용 도서지만 쉬운 내용만 담긴 것은 아니다. 프로그래밍 아이디어, 알고리즘, 코드 작성과 수정, 개선 작업 등을 점진적으로 다룬다. 용어나",20190425,스포트라잇북,"\img\작심 3일 파이썬 Python (모두가 배워야 할 Python, 남몰래 3일만 투자하자!).jpg",황덕창
49,Python으로 학습하는 컴퓨터 알고리즘 (개정판),19800,"배인한의 『Python으로 학습하는 컴퓨터 알고리즘』은 〈알고리즘 개요〉, 〈알고리즘 분석과 차수〉, 〈Python 프로그래밍 언어〉 등에 대한 기초적이고 전반적인 내용이 수록된 책이다.",20240223,홍릉,\img\Python으로 학습하는 컴퓨터 알고리즘 (개정판).jpg,배인한
50,Python How-To,70700,Dip into the practical solutions to the most common Python problems. Python How-To provides the best practices for writing readable and maintainable Python code. With careful cross-referencing reveali,20230228,Manning Publications,\img\Python How-To.jpg,Unknown
51,Peasant in Paradise: four seasons eco-living,49500,"A down-to-earth and fun look at saving the planet one household at a time, with 130 plant profiles, 52 recipes, 294 photos, poetry and more.",20210915,Python Press,\img\Peasant in Paradise: four seasons eco-living.jpg,Unknown
52,Python for Cybersecurity (Using Python for Cyber Offense and Defense),35000,No details available,20220516,Wiley,\img\Python for Cybersecurity (Using Python for Cyber Offense and Defense).jpg,H Poston
53,"Learn Python (Get Started Now with Our Beginner’s Guide to Coding, Programming, and Understanding Ar",57700,"Do you want to become a coding & programming expert in no time? This guide will teach you how!Are you interested in coding, programming, and artificial intelligence?Would you like to learn Python, but",20210226,Big Book Ltd,"\img\Learn Python (Get Started Now with Our Beginner’s Guide to Coding, Programming, and Understanding Artificial Intelligence in the Fastest-Growing Machine Learning Language).jpg",Unknown
54,"Learn Python (Get Started Now with Our Beginner’s Guide to Coding, Programming, and Understanding Ar",46870,"Do you want to become a coding & programming expert in no time? This guide will teach you how!Are you interested in coding, programming, and artificial intelligence?Would you like to learn Python, but",20210210,Big Book Ltd,"\img\Learn Python (Get Started Now with Our Beginner’s Guide to Coding, Programming, and Understanding Artificial Intelligence in the Fastest-Growing Machine Learning Language).jpg","Adams, Anthony"
55,"Learn Python (Get Started Now with Our Beginner’s Guide to Coding, Programming, and Understanding Ar",63080,"Do you want to become a coding & programming expert in no time? This guide will teach you how!Are you interested in coding, programming, and artificial intelligence?Would you like to learn Python, but",20201224,Big Book Ltd,"\img\Learn Python (Get Started Now with Our Beginner’s Guide to Coding, Programming, and Understanding Artificial Intelligence in the Fastest-Growing Machine Learning Language).jpg",Unknown
56,"Learn Python (Get Started Now with Our Beginner’s Guide to Coding, Programming, and Understanding Ar",45040,"Do you want to become a coding & programming expert in no time? This guide will teach you how!Are you interested in coding, programming, and artificial intelligence?Would you like to learn Python, but",20201209,Big Book Ltd,"\img\Learn Python (Get Started Now with Our Beginner’s Guide to Coding, Programming, and Understanding Artificial Intelligence in the Fastest-Growing Machine Learning Language).jpg",Unknown
57,기초통계 플러스알파 (R과 Python을 활용한),20000,"데이터가 있는 곳에 통계가 있다.

현대 사회에서 넘쳐나는 테이터를 처리하기 위해서 통계학은 필수적인 분석 도구로 자리매김을 하고 있다. 또한 컴퓨터의 보급과 발달로, 과거에는 분석이 힘들던 대용량 데이터들도 분석이 가능해진지 오래다. 4차 산업혁명 시대, 빅데이터 시대라 불리는 현재, 불확실성은 점점 더 확대되어가고 있으며 그러한 불확실성을 해결하고자 하",20200302,경문사,\img\기초통계 플러스알파 (R과 Python을 활용한).jpg,김명준^김영화^박영호
58,Pro Python 3 (Features and Tools for Professional Development),65530,Refine your programming techniques and approaches to become a more productive and creative Python programmer. This book explores the concepts and features that will improve not only your code but also,20190321,Springer Nature B.V.,\img\Pro Python 3 (Features and Tools for Professional Development).jpg,Unknown
59,Plant Spirit Gardener,40960,"Gardening can deeply nurture our heart and soul, especially if we become aware of the invisible realms and want to be a co-creator with the spirits of nature. We can be shamans in our own backyards pr",20161101,Python Press,\img\Plant Spirit Gardener.jpg,Unknown
